SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,MPI_IMPL,EXPERIMENT,EXECUTABLE,ARG1,ARG2,ARG3,ARG4,ARG5,OUTPUT
9402281,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,7,"Results 16:
|T| = (1,1.73472e-18)
T[0] = (2.30072e-07,-7.39589e-07)
Max chis = (2, 4, 8, 16, 32, 57, 61, 62, 62, 62, 61, 62, 61, 62, 61, 62, 61, 61, 62, 61, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 57, 32, 16, 8, 4, 2)
Max chi = 62
Time taken: 193055 ms"
9402282,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,8,"Results 16:
|T| = (1,8.32667e-17)
T[0] = (2.06927e-07,-1.05149e-07)
Max chis = (2, 4, 8, 16, 32, 62, 69, 70, 70, 70, 70, 70, 70, 71, 71, 70, 71, 71, 71, 71, 70, 71, 71, 71, 71, 71, 71, 71, 70, 70, 70, 69, 69, 63, 32, 16, 8, 4, 2)
Max chi = 71
Time taken: 189720 ms"
9402283,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,9,"Results 16:
|T| = (1,8.32667e-17)
T[0] = (1.16697e-07,-3.86127e-07)
Max chis = (2, 4, 8, 16, 32, 64, 76, 77, 79, 78, 78, 78, 78, 79, 78, 78, 78, 79, 79, 79, 79, 79, 79, 79, 78, 79, 79, 78, 78, 79, 79, 79, 77, 64, 32, 16, 8, 4, 2)
Max chi = 79
Time taken: 187263 ms"
9402284,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,10,"Results 16:
|T| = (1,6.41848e-17)
T[0] = (4.21801e-08,-8.68355e-08)
Max chis = (2, 4, 8, 16, 32, 64, 83, 86, 86, 87, 87, 87, 88, 87, 87, 87, 86, 87, 87, 87, 87, 87, 87, 88, 87, 88, 88, 88, 87, 87, 87, 86, 84, 64, 32, 16, 8, 4, 2)
Max chi = 88
Time taken: 189461 ms"
9402285,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,11,"Results 16:
|T| = (1,6.245e-17)
T[0] = (1.74799e-07,-2.21134e-07)
Max chis = (2, 4, 8, 16, 32, 64, 92, 94, 96, 96, 95, 96, 96, 96, 96, 96, 96, 96, 97, 95, 96, 96, 96, 96, 96, 96, 96, 95, 96, 96, 96, 96, 91, 64, 32, 16, 8, 4, 2)
Max chi = 97
Time taken: 186571 ms"
9402286,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,12,"Results 16:
|T| = (1,6.84696e-35)
T[0] = (-3.71562e-07,-1.49624e-07)
Max chis = (2, 4, 8, 16, 32, 64, 99, 104, 105, 104, 104, 104, 104, 104, 105, 105, 104, 104, 105, 105, 104, 105, 105, 105, 105, 104, 104, 104, 105, 105, 104, 103, 99, 64, 32, 16, 8, 4, 2)
Max chi = 105
Time taken: 192871 ms"
9402287,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,13,"Results 16:
|T| = (1,4.16334e-17)
T[0] = (1.56966e-06,-8.74814e-07)
Max chis = (2, 4, 8, 16, 32, 64, 106, 111, 112, 113, 113, 113, 114, 114, 113, 113, 113, 113, 113, 113, 114, 113, 114, 113, 113, 113, 113, 113, 113, 113, 112, 111, 106, 64, 32, 16, 8, 4, 2)
Max chi = 114
Time taken: 186886 ms"
9402288,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,14,"Results 16:
|T| = (1,-5.55112e-17)
T[0] = (1.24981e-07,8.30146e-07)
Max chis = (2, 4, 8, 16, 32, 64, 112, 118, 121, 121, 121, 122, 121, 121, 121, 121, 122, 120, 121, 121, 121, 121, 121, 122, 121, 121, 121, 121, 121, 122, 120, 119, 112, 64, 32, 16, 8, 4, 2)
Max chi = 122
Time taken: 204580 ms"
9402289,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,40,16,16,16,15,"Results 16:
|T| = (1,-1.38778e-17)
T[0] = (-3.54811e-07,1.86863e-07)
Max chis = (2, 4, 8, 16, 32, 64, 118, 128, 129, 130, 130, 130, 130, 130, 130, 130, 130, 130, 130, 130, 129, 129, 129, 129, 129, 129, 129, 129, 128, 129, 128, 126, 118, 64, 32, 16, 8, 4, 2)
Max chi = 130
Time taken: 182453 ms"
9402290,qtnh,2,256,UCX,ieee25-qftrmps-inout,qftmps,80,16,16,16,0,"Results 16:
|T| = (1,-6.03972e-31)
T[0] = (9.09495e-13,-1.02693e-26)
Max chis = (1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)
Max chi = 1
Time taken: 547063 ms"
